Number,Catch_length,Catch_weight,Catch_date,Catch_location,Recaptures,Recapture_weight,Catch_method,Recapture_location,specificity grade,Recapture_lon,Recapture_lat,Recapture_date,Recapture_length,Recapture_method,Tag,Remark,Catch_lon,Catch_lat
202,15,NA,11/07/2008,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
203,20.5,NA,27/07/2008,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
204,17.5,NA,27/07/2008,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
205,16.2,NA,27/07/2008,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
206,16.5,NA,11/07/2008,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
209,34,NA,4/08/2008,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
210,20.7,NA,11/07/2008,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
211,24.2,NA,27/07/2008,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
212,22.1,NA,27/07/2008,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
213,20.5,NA,27/07/2008,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
214,21,NA,27/07/2008,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
215,19,NA,27/07/2008,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
216,23.1,NA,27/07/2008,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
217,23.6,NA,27/07/2008,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
218,17.9,NA,11/07/2008,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
219,16.5,NA,11/07/2008,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
220,21.8,NA,27/07/2008,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
221,15.4,NA,27/07/2008,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
222,22.5,NA,27/07/2008,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
223,23.3,NA,11/07/2008,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
224,20.5,NA,27/07/2008,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
225,15.5,NA,11/07/2008,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
226,24.9,NA,27/07/2008,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
227,14.9,NA,11/07/2008,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
228,22,NA,27/07/2008,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
229,23.3,NA,10/08/2008,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
230,14.8,NA,11/07/2008,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
231,18,NA,27/07/2008,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
232,14.3,NA,11/07/2008,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
233,19.7,NA,11/07/2008,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
234,19.1,NA,11/07/2008,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
235,36,NA,4/08/2008,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
236,21.7,NA,27/07/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
237,24.6,NA,27/07/2008,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
238,24.2,NA,27/07/2008,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
239,16,NA,27/07/2008,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
240,15.1,NA,27/07/2008,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
241,25.3,NA,11/07/2008,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
242,24,NA,11/07/2008,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
243,21.8,NA,27/07/2008,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
244,15,NA,27/07/2008,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
245,16.9,NA,11/07/2008,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
